Results Table 1


Results Table 2


Time,Displacement,Force
(s),(mm),(kN)
"0.0000","2.5991","0.0492"
"0.0200","2.5991","0.0494"
"0.0400","2.5991","0.0496"
"0.0600","2.5991","0.0499"
"0.0800","2.5992","0.0498"
"0.1000","2.5993","0.0495"
"0.1200","2.5994","0.0493"
"0.1400","2.5995","0.0494"
"0.1600","2.5997","0.0495"
"0.1800","2.6001","0.0496"
"0.2000","2.6004","0.0497"
"0.2200","2.6009","0.0494"
"0.2400","2.6013","0.0494"
"0.2600","2.6018","0.0496"
"0.2800","2.6022","0.0496"
"0.3000","2.6026","0.0497"
"0.3200","2.6031","0.0497"
"0.3400","2.6037","0.0497"
"0.3600","2.6043","0.0495"
"0.3800","2.6049","0.0495"
"0.4000","2.6054","0.0496"
"0.4200","2.6057","0.0500"
"0.4400","2.6060","0.0499"
"0.4600","2.6064","0.0497"
"0.4800","2.6068","0.0499"
"0.5000","2.6072","0.0498"
"0.5200","2.6076","0.0499"
"0.5400","2.6079","0.0498"
"0.5600","2.6082","0.0497"
"0.5800","2.6086","0.0496"
"0.6000","2.6089","0.0497"
"0.6200","2.6093","0.0497"
"0.6400","2.6097","0.0496"
"0.6600","2.6101","0.0496"
"0.6800","2.6104","0.0499"
"0.7000","2.6107","0.0503"
"0.7200","2.6110","0.0500"
"0.7400","2.6113","0.0498"
"0.7600","2.6116","0.0497"
"0.7800","2.6119","0.0499"
"0.8000","2.6123","0.0500"
"0.8200","2.6126","0.0501"
"0.8400","2.6131","0.0503"
"0.8600","2.6134","0.0501"
"0.8800","2.6137","0.0498"
"0.9000","2.6140","0.0498"
"0.9200","2.6143","0.0500"
"0.9400","2.6146","0.0499"
"0.9600","2.6149","0.0498"
"0.9800","2.6154","0.0501"
"1.0000","2.6158","0.0502"
"1.0200","2.6163","0.0504"
"1.0400","2.6166","0.0502"
"1.0600","2.6169","0.0501"
"1.0800","2.6171","0.0504"
"1.1000","2.6173","0.0503"
"1.1200","2.6176","0.0501"
"1.1400","2.6179","0.0500"
"1.1600","2.6182","0.0502"
"1.1800","2.6186","0.0501"
"1.2000","2.6189","0.0505"
"1.2200","2.6193","0.0504"
"1.2400","2.6196","0.0502"
"1.2600","2.6199","0.0503"
"1.2800","2.6202","0.0501"
"1.3000","2.6206","0.0502"
"1.3200","2.6209","0.0503"
"1.3400","2.6214","0.0504"
"1.3600","2.6218","0.0504"
"1.3800","2.6223","0.0504"
"1.4000","2.6226","0.0505"
"1.4200","2.6228","0.0505"
"1.4400","2.6231","0.0502"
"1.4600","2.6233","0.0503"
"1.4800","2.6236","0.0504"
"1.5000","2.6239","0.0504"
"1.5200","2.6244","0.0504"
"1.5400","2.6248","0.0502"
"1.5600","2.6251","0.0504"
"1.5800","2.6255","0.0504"
"1.6000","2.6258","0.0506"
"1.6200","2.6260","0.0505"
"1.6400","2.6263","0.0502"
"1.6600","2.6266","0.0506"
"1.6800","2.6269","0.0507"
"1.7000","2.6274","0.0504"
"1.7200","2.6278","0.0503"
"1.7400","2.6283","0.0504"
"1.7600","2.6286","0.0506"
"1.7800","2.6288","0.0504"
"1.8000","2.6290","0.0506"
"1.8200","2.6292","0.0508"
"1.8400","2.6295","0.0510"
"1.8600","2.6298","0.0507"
"1.8800","2.6302","0.0506"
"1.9000","2.6306","0.0506"
"1.9200","2.6310","0.0506"
"1.9400","2.6313","0.0505"
"1.9600","2.6316","0.0507"
"1.9800","2.6319","0.0508"
